neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,availability_365
4,190,1,100,3,35,2
3,36,1,225,3,2,221
5,181,2,35,4,10,323
3,210,1,195,5,7,6
2,14,1,130,3,34,147
3,96,1,190,4,0,158
4,16,1,240,2,0,159
2,31,2,40,3,23,357
3,207,2,40,3,3,171
4,55,2,95,1,0,177
2,14,1,165,5,8,81
2,92,2,89,1,0,180
3,202,1,189,4,8,7
3,95,1,175,5,1,89
2,29,1,125,2,22,122
2,29,2,60,2,32,78
2,14,1,105,4,22,11
3,202,3,35,1,14,22
4,118,1,110,2,2,21
3,95,2,80,1,28,5
2,14,2,45,2,1,6
3,96,2,199,1,20,359
3,38,1,225,3,3,189
1,219,2,80,2,7,70
2,152,1,185,3,1,117
3,62,3,49,2,23,10
3,62,2,85,1,18,357
2,215,1,220,5,10,349
2,191,2,35,6,26,160
5,177,2,100,3,0,90
3,95,1,245,3,28,272
3,120,2,85,2,30,344
3,36,2,61,5,25,20
3,87,2,59,5,4,10
2,29,2,100,3,1,40
4,182,3,34,5,2,365
3,138,3,150,3,17,14
2,29,2,69,2,34,319
2,215,2,79,1,1,89
3,128,2,233,2,0,163
3,95,2,58,1,17,289
3,35,1,270,5,0,46
2,26,1,275,5,16,12
3,120,1,250,5,1,87
3,120,1,106,1,9,364
4,69,2,59,3,8,73
3,113,1,160,3,36,266
3,120,2,69,3,1,270
3,95,2,215,5,3,345
5,71,1,78,2,11,38
2,29,2,63,2,10,127
3,95,2,95,2,5,178
4,13,2,60,1,9,84
3,210,2,202,2,0,84
2,215,1,160,2,17,3
2,52,2,60,3,0,16
2,217,2,55,2,26,75
2,29,2,75,3,5,365
2,52,1,65,2,6,4
2,77,1,100,3,17,89
3,202,2,108,1,4,113
2,42,2,65,6,1,19
1,119,1,159,2,7,118
2,52,1,85,3,10,149
3,74,2,60,2,1,18
2,42,1,100,1,6,80
2,215,1,100,3,3,3
2,29,2,60,1,0,97
2,14,1,97,1,27,62
1,11,1,101,2,11,46
2,27,2,120,3,3,365
2,14,1,126,1,11,52
4,78,2,45,1,1,339
2,29,2,50,2,19,5
2,152,1,150,1,1,8
2,14,1,165,3,0,273
2,29,2,85,1,1,177
2,52,1,52,1,13,88
2,160,3,40,1,0,211
4,184,1,175,1,15,68
2,14,2,72,6,6,66
3,7,2,100,1,1,339
2,14,1,180,2,9,330
2,61,2,46,3,10,311
2,31,1,110,2,2,87
2,29,2,50,1,4,160
2,14,2,60,1,6,77
4,106,1,170,3,8,336
2,14,1,108,1,35,158
4,106,2,65,1,3,357
2,20,1,150,2,19,1
2,14,2,40,1,16,310
5,162,1,109,3,21,121
3,62,2,89,1,23,285
3,203,2,75,1,1,188
2,52,1,110,2,26,267
2,215,2,79,1,0,342
3,203,1,120,5,20,34
2,86,1,121,5,1,45
4,218,1,99,5,7,319
2,14,2,89,3,2,176
2,29,1,110,3,23,67
3,95,1,71,2,24,55
3,95,2,60,2,33,211
3,96,1,225,3,20,68
2,14,1,165,4,9,201
3,104,2,70,1,7,73
2,92,1,94,3,28,11
4,5,1,125,3,21,345
2,29,2,53,2,19,177
3,65,1,250,2,14,364
4,80,2,125,2,3,364
3,35,2,159,1,0,360
2,215,1,130,2,1,13
1,206,2,39,1,10,15
3,210,1,85,3,5,16
2,29,2,70,1,14,78
2,29,2,45,2,25,54
2,61,1,75,1,27,185
2,42,1,250,3,15,43
2,8,1,100,3,25,353
2,109,2,100,1,28,21
2,191,2,80,2,1,65
3,113,1,165,3,2,2
3,93,1,275,4,18,85
2,92,2,185,1,8,123
4,80,2,50,4,0,55
2,64,1,225,3,3,136
3,120,2,123,1,7,146
2,24,3,100,3,9,85
3,202,1,210,5,3,136
3,65,2,125,4,21,52
3,207,2,50,1,4,71
2,52,1,85,5,1,51
2,215,1,262,2,5,118
2,52,2,100,1,27,365
2,159,2,60,5,0,18
2,14,3,75,1,15,123
3,36,2,89,2,0,10
2,14,2,65,2,24,310
4,78,2,70,2,0,95
3,95,2,60,1,1,268
4,5,1,130,1,9,162
3,95,1,269,1,29,1
3,96,2,250,2,17,130
2,14,2,75,2,0,87
1,48,1,60,3,1,20
3,128,3,99,1,9,15
3,65,2,115,2,6,23
4,186,1,246,2,3,359
2,14,2,55,1,8,138
2,191,1,150,3,5,3
2,29,1,65,6,2,19
3,96,1,269,4,6,43
2,29,1,163,3,20,309
2,90,1,120,5,0,23
1,119,2,100,2,2,345
3,202,2,70,2,24,5
4,111,1,250,3,5,152
2,14,2,75,2,0,14
2,14,2,100,1,0,359
3,179,2,134,1,3,70
2,14,2,62,2,18,356
2,29,3,75,1,25,155
3,179,1,173,5,2,3
3,95,2,109,1,1,41
2,14,1,175,2,20,357
2,29,2,40,1,0,33
2,215,1,189,2,21,70
3,170,1,160,4,9,33
2,92,1,174,2,31,12
4,218,2,90,2,9,180
3,62,1,115,2,3,1
3,128,2,105,2,17,190
3,207,1,120,2,0,37
3,62,1,169,3,7,242
2,29,2,53,2,10,158
2,27,2,70,2,3,325
3,65,2,170,5,22,143
3,36,1,150,4,14,18
2,52,1,105,2,17,245
4,118,2,89,1,0,358
3,96,1,97,2,1,8
4,60,2,49,1,1,48
