neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,availability_365
2,109,2,149,1,9,365
3,95,2,150,3,0,365
2,217,2,60,1,19,85
2,75,2,150,1,0,365
2,183,1,120,3,15,345
3,120,2,110,5,19,301
3,65,1,190,5,21,224
2,75,1,130,6,16,38
2,29,2,65,4,24,317
3,95,2,89,1,1,365
3,95,2,60,3,11,219
2,42,2,125,2,19,250
3,203,1,235,6,27,199
2,160,2,75,2,9,324
2,215,2,90,1,9,245
3,202,1,150,5,21,189
3,120,1,105,3,32,16
2,77,2,77,2,2,178
2,215,1,199,3,10,280
4,78,2,140,2,1,1
2,215,1,160,3,11,188
3,65,1,195,3,30,248
3,62,2,69,2,34,10
2,215,1,125,6,27,189
2,54,2,250,3,14,189
3,202,1,250,3,4,365
2,215,1,200,4,33,1
3,96,3,105,6,10,363
2,14,2,71,2,23,91
4,55,1,140,2,17,292
3,65,1,239,3,7,351
2,217,2,135,2,21,272
3,36,1,250,4,18,265
3,93,1,225,5,10,91
3,95,2,175,2,1,365
1,40,2,90,2,0,349
2,14,2,70,3,36,281
2,14,2,70,4,18,189
3,95,2,75,3,20,364
2,152,1,175,2,11,246
2,215,1,140,2,9,254
2,92,2,125,3,6,325
3,207,1,250,3,32,276
2,92,2,59,3,29,15
2,92,2,179,3,36,79
3,96,2,150,3,36,49
2,92,2,249,3,2,60
2,92,2,179,3,13,81
2,14,1,200,5,4,9
2,42,2,165,4,11,365
3,113,1,125,4,1,181
4,5,1,110,4,30,363
2,215,1,200,2,29,36
2,152,1,165,2,23,7
4,80,1,97,3,28,209
2,92,1,141,5,8,9
2,152,1,150,2,0,8
2,14,2,165,1,27,311
2,52,1,130,2,29,119
3,207,2,75,2,34,222
2,152,2,60,1,20,258
3,62,1,250,2,11,68
2,81,2,85,2,35,161
3,95,2,170,2,17,88
3,120,2,115,3,3,337
2,52,1,97,3,31,193
2,215,1,179,4,23,25
3,35,2,255,4,1,365
2,159,1,215,3,33,156
3,203,2,89,6,35,180
2,215,2,100,6,8,249
2,14,1,145,3,30,11
2,29,2,40,1,1,5
5,71,2,80,2,2,158
2,18,1,110,1,24,183
2,42,1,172,4,8,189
3,120,1,199,1,29,162
3,120,1,199,1,14,158
3,95,2,100,1,33,84
2,152,2,120,2,23,342
3,35,1,199,4,32,28
2,159,1,150,5,24,363
3,210,1,225,3,13,83
2,14,1,80,2,35,36
3,179,2,270,5,1,210
4,167,2,55,1,19,311
2,14,1,110,6,8,4
3,35,1,226,5,34,302
2,52,2,85,3,5,281
2,92,1,199,3,34,60
2,14,2,100,1,7,281
3,95,2,125,1,11,365
2,92,1,199,3,33,60
2,92,1,199,3,24,84
2,24,2,69,1,2,303
3,203,1,185,2,16,261
2,92,1,199,3,24,60
2,92,1,199,3,23,60
2,92,1,199,3,30,56
2,92,2,249,3,3,60
2,92,2,179,3,4,81
5,3,1,250,2,21,333
5,3,1,125,2,8,353
2,14,1,130,3,18,1
3,120,2,80,5,10,348
3,95,1,155,1,1,5
2,52,2,99,2,20,98
2,215,1,110,4,0,354
1,206,2,50,2,15,337
2,109,2,60,2,20,347
3,62,2,99,3,25,127
3,95,1,130,2,35,41
2,52,2,50,3,26,158
3,65,1,250,3,24,16
2,215,2,190,1,30,365
2,215,2,75,2,5,365
2,14,2,60,5,9,33
2,92,2,60,4,6,303
2,215,2,60,2,35,161
2,42,1,135,5,6,317
2,14,2,97,3,29,118
2,183,2,65,4,36,80
2,14,1,100,3,21,43
2,81,1,175,3,35,289
4,118,2,65,2,5,362
